,0,1,2,3
0,https://pik.bg/клет-каренин-по-бтв-журналистката-не-пита-каренина-в-извънбрачна-връзка-с-борисов-ли-снима-news980331.html,Клет Каренин по БТВ. Журналистката не пита: Каренина в извънбрачна връзка с Борисов ли снима шкафчето?,"['Клет...хм, Каренин по БТВ. Да го наречем така за по-литературно.', 'Борисов, вика, е лъжец и манипулатор. Тия неща в шкафчето са си негови.', 'Грешка. Твои са. Ти ги даде на палавницата си да ги подхвърли и да снима. Да трупате с авера от хазарта бели компромати за черни дни. И да ги търгувате с президента. За да запалите държава, да отървете прокурорско преследване.\xa0', 'Каренин, цяла България те презира. Употребяваш майката на децата си за злостни цели.', 'Жената не е стока, нали, Каренин?', 'Превръщате перверзията в семеен стандарт.', 'И няма нормален журналист в БТВ да попита, разбира се:\xa0Каренина в извънбрачна връзка с Борисов ли снима шкафчето? Подучена от съпруга си?', 'Животът е като каране на колело, ако ти е тежко, значи вървиш нагоре, ако ти е леко – спукаш се по нанадолнището. Въпросът ми е - защо нямам седалка на моето колело и защо карам по капли…']",
1,https://pik.bg/доц-антоний-гълъбов-за-пик-дсб-в-новия-съюз-на-незнайните-сили-атанасов-като-ехо-на-румен--news980216.html,Доц. Антоний Гълъбов за ПИК: ДСБ в новия Съюз на незнайните сили. Атанасов като ехо на Румен Радев,"['Хвърленият камък в казаните от Атанас Атанасов думи падна върху десните избиратели.', 'Съпредседателят на Демократична България\xa0(който пропусна дори да спомене името на партията, на която все още е председател – ДСБ)\xa0заяви в предаването „Още от деня“ по БНТ, че те ще се борят да получат управленски мандат и да го реализират със сегашната извънпарламентарна опозиция. Независимо от нейния състав, включващ ИТН на Слави Трифонов, ИБГ на Мая Манолова или Отровното трио, защото била изтекла много вода… \xa0', 'Никой няма нужда от водомер на политическите промени. Още по-малко десните избиратели в България. Загубата на памет е един от най-тежките симптоми на политическата безпомощност.', 'След като предишният председател на ДСБ Радан Кънев направи успешен опит да обезсмисли съществуването на партията чрез участието си в комплота срещу България в Европейския парламент и така я доведе до ръба на обезличаването, Атанасов направи последната и решителна крачка напред. Ако днешните амбиции на някогашната ДСБ се свеждат до това да се съюзи с когото и да било, за да влезе в парламента, то мястото й е сред огромния брой кандидати за власт и слава, чиито имена вече никой не си спомня.', 'Съдбата или дори самото съществуване на една партия има значение единствено и само доколкото тя представлява политическите интереси на определени групи от обществото. Десните избиратели, които останаха в България, за да продължат да се опитват да я променят, не са забравили нито миналото, нито онова, което техните някогашни представители успяха да постигнат. Оказа се, че хората, които днес представляват ДСБ, не само отхвърлиха политическото наследство на традиционната десница, но и изглеждат готови да го заличат в името на собственото си несигурно политическо бъдеще.', 'Потенциалните съюзници, които вижда Атанасов, били именно тези политически сили, защото „социологията казвала така“. Не е ясно какво точно има предвид председателят на ДСБ под „социология“, но е сигурно, че математиката няма да окуражи подобна амбиция. Българските граждани все още не мислят за избори. Резултатите от по-голямата част от сондажите, на които щедро се позовава Атанасов, имат ниска степен на надеждност и не могат да бъдат използвани като основа за прогнози.', 'Но дори и ИТН, ИБГ и всички останали протестиращи, заедно и поотделно, няма да реализират мечтата за управленски мандат на ДБ. По-важното е, че подобна позиция няма нищо общо с политиката изобщо, а още по-малко с дясната политика.', 'Дясната политика има ясни и устойчиви ориентири, които не се определят от „социологията“. Особено от тази на която се позовава Атанасов. Силата на дясната политика винаги се е определяла от връзката с гражданите, а не от временната конфигурация на възможните коалиционни формули. Дясната политика винаги е имала ясна и категорична позиция по отношение на държавата и ефективността на нейните институции. Преповтаряйки опорните точки на Румен Радев, Атанасов дори не си дава сметка, че това може да го постави всякъде другаде, но не и в полето на дясната политика.', 'Абсурдът в позицията на онзи, който заяви, че не е „упълномощен да изнася кухнята на балкона“, е в това, че той дори не разбира, че именно сега българското общество, повече отколкото през изминалите двадесет години, се нуждае от отчетлива дясна политическа алтернатива. ГЕРБ претърпя много трансформации и бе принуден да се измести към „центъра“ (каквото и да означава това в България!), а след това да заеме пространството на отсъстващата дясна позиция срещу новите претенции на БСП. Първият сигнал за това, че хората, претендиращи да представляват десните избиратели у нас губят ориентация и перспектива, бе продължилата няколко години неспособност за заемане на позиция срещу БСП и все по-отявленият й реваншизъм.', 'Общественото доверие, от което според Атанасов е лишено сегашното управление, не се печели чрез говорене срещу „статуквото“. Дясната политика изисква спазването на принципи и ценности, а не общи фрази за необходимостта от „радикална промяна“. Възстановяването на парламентарната република, което Атанасов заяви като основна политическа цел на ДБ, преминава през нова конституция, но изглежда че председателят на ДСБ стриктно следва указанията на Радев да не „влиза в този разговор“.', 'Степента, в която ДСБ губи своя облик на дясна партия е право пропорционална на пълното сливане с „Да, България“. Тази политическа формация, приела да се нарича именно така, като че ли в отговор на инициативата на министър Долорес Арсенова в правителството Сакскобурготски „БългарияДа“, все още търси своя политически образ, но навсякъде, освен сред образците на дясна политика. Фактът, че една дясна партия в България изчезва, не е новина, но потвърждава общата тенденция на загуба на чувство за реалност и перспектива в българския политически живот.', 'Отговорът на Атанасов по отношение на разделението и дори противопоставянето сред протестиращите, се свежда до това, че всички били застанали зад двете основни искания – оставка на главния прокурор и на премиера и правителството. Всъщност чии бяха тези искания? Кой ги формулира за първи път и направи всичко възможно протестът да не се развие нито крачка встрани от тях? Що за политически хоризонт е този, който се свежда само до отстраняването от власт на управляващото мнозинство? Кой човек, имащ десни политически възгледи би приел, че целта може да бъде единствено и само отстраняването от власт на ГЕРБ?\xa0 ', 'Онези, които приеха този нисък и тесен политически хоризонт, са силите, с които се готви да управлява ДБ.', 'Неразбираемият опит за сравнение с възникването на СДС в края на 1989 година предизвиква още по-голямо недоумение. Извънпарламентарната опозиция в момента няма ясно изразен демократичен характер. Това би било по-скоро съюз на знайни и незнайни политически сили. Знайни като АБВ, ДБГ, Д21, и незнайни като ИБГ на Мая Манолова, ИТН на Слави Трифонов, и т.н. Това би било още по-безперспективно и безпринципно обединение дори от Реформаторския блок.', 'Най-търсеното политическо качество на предстоящите избори ще бъде доказаната през годините способност да се управлява. Все по-малко избиратели са склонни да се доверяват на някого, просто защото досега не е управлявал. Гръмките обещания и говоренето анти-ГЕРБ във все по-малка степен ще определя избора на гражданите. Преминаваме през много труден период, в който обществото ще търси ефективни модели на управление, а не радикален партизанлък.', 'Когато си останал извън парламента за цял мандат, това означава, че избирателите са ти дали възможност да се учиш. Ако това е всичко, което ДСБ е научила, то отговорът на думите на Атанасов може да се изрази като протестен или дори наказателен вот. Възможностите за протестен вот от страна на десните избиратели са все по-ограничени поради липсата на жизнеспособни десни формации. При това положение, по-голямата част от потенциалните избиратели на ДСБ, най-вероятно просто няма да гласуват. \xa0', 'А това ще означава ограничена подкрепа за ДБ и все по-пълно обезличаване на ДСБ.', 'Пияница се събужда сутринта на една пейка в Морската градина във Варна и гледа младо момче до него. Взира се в него и след малко го пита:  - Откъде те познавам, момче?  - Тате, хайде да си ходим вече, че мама сигурно е побесняла и с точилката в ръка!']",
2,https://pik.bg/само-в-пик-и-&quotретро&quot-откраднаха-самоличността-на-цецка-цачева-снимки-news979221.html,"САМО В ПИК И ""РЕТРО"": Откраднаха самоличността на Цецка Цачева (СНИМКИ)","['Цецка Цачева е поредното политическо лице, станало жертва на интернет измама. Самоличността на бившата правосъдна министърка е присвоена от неизвестни, които ежедневно публикуват политически коментари и анализи от нейно име в популярната социална мрежа туитър.', '\nИЗВЪНРЕДНО! Цецка Цачева проговори за луксозния си евтин апартамент от ""Артекс"" ', '\nна 20.03.2019', 'Фалшивият профил на Цачева е с нейните имена и нейна снимка и е бил създаден още през 2009 г. В продължение на вече 11 години в него се сипят публикации, обичайно с ироничен подтекст, от името на бившата шефка на Народното събрание. По-фрапиращото е, че профилът е изградил стабилна фенска маса и е следван от над 3100 души, които може и да не подозират, че Цачева няма нищо общо с коментарите в него и едва ли подозира, че някой злоупотребява по подобен начин с името ѝ.', 'Подобни интернет кражби се случват често на популярните лица у нас, предимно на тези от хайлайф средите. Рядко някой се осмелява да присвоява самоличността на политици. При останалите звезди по-често имената и лицата им се използват за незаконна реклама на съмнителни лекарства и продукти за отслабване, като в такива скандали вече са били забърквани актрисите Ернестина Шинова и Теодора Духовникова, естрадната звезда Йорданка Христова, тв водещите Аделина Радева, Ани Салич и Бойко Василев. Част от тях дори са решили да разкрият кой стои зад измамите и да търсят наказание по съдебен път.', 'Всъщност Цецка Цачева има и няколко фалшиви профила във фейсбук, но те не отчитат дейност. Официалната ѝ страница там, в която тя публикуваше, докато бе правосъден министър, пък е неоткриваема. Откакто напусна активната власт, Цачева отново практикува като юрист и страни от медийното внимание.', 'Никога не се страхувай да правиш това, което не умееш. Помни, че Ноевият ковчег е направен от любители. Професионалистите са построили “Титаник”.\xa0']",
3,https://pik.bg/горещо-в-пик-ето-кои-са-наследниците-на-агенти-на-румно-и-дс-в-заговора-срещу-борисов-news980246.html,ГОРЕЩО В ПИК: Ето кои са наследниците на агенти на РУМНО и ДС в заговора срещу Борисов,"['""Неслучайно говоря за методите на КГБ. Някои от опонентите ми, които работят за президента Румен Радев, са бивши тайни агенти, хора от тази среда или деца на големи шпиони, офицери на руската военноразузнавателна служба. И основното правило на тези служби е, че ако вашата мишена е смятана за честен човек, трябва да създадете противоположно впечатление"".', '\nБойко Борисов с разтърсващо признание: Успешен политик съм, но личният ми живот е провал', '\nна 29.11.2020', 'Това заявява в интервю за\xa0Франкфуртер Алгемайне Цайтунг, публикувано днес, премиерът Бойко Борисов. ПИК разкри преди време кои са хората, които визира и за които става дума и в разговора с немския журналист по повод предателската резолюция срещу България в ЕП - Елена Йончева и Радан Кънев.\xa0', 'Йончева бе и основният разпространител на 100-процентовата лъжа за „Барселонската къща“ на Борисов.\xa0Бившата говорителка на Радев и пробутана за евродепутат от Корнелия Нинова Йончева е представител на най-отблъскващата колода в българската политика – тази на номенклатурните и ченгеджийски отрочета, както ПИК разкри, а сега допълваме с директни справки от ДС.', 'Част от ченгетата от ДС, към които принадлежи нейният баща Никола Йончева, са тежка съветска агентура, работила под опеката и за интересите на някогашния съветски блок. Какви са фактите за Никола Йончев?', 'Подполковник от ПГУ-ДС Никола Иванов Йончев е роден на 31.01.1934 г. в гр. София. Член на БКП от 1961 г. Никола Йончев е назначен през 1953 г. за преводач по френски език в отдел 06 на Първо главно управление на ДС. През 1963 г. е завършил едногодишна разузнавателна школа в КГБ на СССР, след което е изпратен на едногодишен стаж по езикова квалификация в Швейцария.', 'Там е работил към представителвото на НРБ в ООН. След завръщането си е назначен на работа в отдел 03 където е отговарял за резидентурата във Франция. За проявена активност, оперативна наблюдателност и находчивост в разработката, вербовката и ръководството на агент, от който е получена ценна разузнавателна информация, през м.октомври 1967 г. е повишен в длъжност зам.началник отделение.', '\nБорисов посочи президента за снимките в спалнята: Опонентите ми, които работят за Радев, са бивши тайни агенти, деца на руски шпиони. Парите ги подхвърли една красива Мата Хари, която НСО не претърси...Готвено е години', '\nна 29.11.2020', 'От октомври 1967 г. до май 1972 г. е бил на задгранична работа към посолството на НРБ в Брюксел, разкриват още справките. На 23 октомври 1967 г. майор Никола Йончев заминава за новооткритата\xa0 резидентура на ПГУ-ДС в Брюксел, където е назначен за резидент под прикритието на трети легационен секретар по консулските въпроси към посолството на НРБ.', 'Работи под псевдоним „Тасев“.\xa0Сред основните му задачи там е работа срещу НАТО, САЩ и други западноевропейски държави, в полза на ПГУ-ДС и...КГБ.\xa0Още с пристигането си е предаден на връзка към съветското посолство и по-точно, към резидентурата на КГБ в Брюксел. Негов водещ офицер от резидентурата на КГБ в Брюксел е другаря Свистелников, а Никола Йончев фигурира в архивите на КГБ с псевдоним „Гарин“:', 'Подобен е и произходът на Иво Христов - също бивш приближен на Радев, а след това пробутан за евродепутат от Нинова. Подробности за това разкри Антон Тодоров, показвайки и справки от досиета.\xa0', 'Иво Христов Петков е роден на 8 октомври 1970 г. в Истанбул. Защо пък там се питат българчетата и чакат отговор. Ето Ви отговора – защото по това време бащата на Иво Христов е вицеконсул в Генералното консулство на НРБ в Истанбул, отговарящ по културните въпроси. Това обаче е неговата длъжност за прикритие. Истинското занимание на Христо Христов е военното разузнаване. Той е кадрови офицер от комунистическото военно разузнаване РУМНО, разкри Тодоров.', 'Бащата на Иво Христов, Христо Петков Христов е роден на 29 март 1932 г. в с. Кормянско, което се намира в днешната община Севлиево. Баща му Петко Христов Петков, дядото на Иво, става член на БКП през октомври 1944 г., т.е. веднага след болшевишкия преврат. Братът на дядо му, Симеон Христов Петков, е ятак на Габровско-Севлиевския шумкарски отряд. Води се и политзатворник.', '\nГОРЕЩО В ПИК: Ето цялото интервю на Борисов пред ФАЦ - за компроматите, задкулисието и Радев', '\nна 29.11.2020', 'Сестра им, Велка Христова Сърцанова пък е ятак на шумкарите-терористи от отряда „Чавдар“! От същия шумкарски сой е и майката на Иво Христов – Любка Христова, с която Христо Христов сключва брак през 1960 г. Баща й Иван Кафалиев през 1920 г. става член-основател на Българския комунистически младежки съюз в гимназията в Пирдоп.\xa0', 'След 9 септември 1944 г. във всички части на армията се изграждат политотдели, които поддържат тесни връзки със съответните комитети на БКП. За тяхната подготовка в принципите и постулатите на сталинизма през 1950 г. е открито Народно военно-политическо училище „Й. В. Сталин“, а през 1951 г. - и Военно-политическа академия. Бащата на бъдещия шеф на кабинета на Радев Иво Христов през 1951 г. завършва курс за политически офицери в същото училище, където е обучен да провежда сталинистката политика в армията. Веднага след завършването е назначен в БНА и 11 години служи на различни длъжности като партийно-политически работник.', 'Достига до заместник-командир по политическата част (ЗКПЧ) на батальон. Член е на БКП от 1953 г., многократно е избиран за секретар на партийното бюро и член на партийните комитети в различни поделения. В качеството си на такъв дори е избиран и за член на Градския комитет на БКП в Михайловград (дн. Монтана). През 1962 г. се ражда сестрата на Иво Христов, Мариета. Година по-късно баща им завършва задочно Юридическия факултет на Софийския университет „Кл. Охридски“. Междувременно в периода 1962-1964 г. Христо Христов завършва курс по турски език в школата на МВР „Г. Димитров“ в София.', 'От 19 октомври 1964 г. е приет на работа като кадрови офицер във военното разузнаване РУМНО – най-мракобесната и просъветска структура в комунистическа България. До 1966 г. е на прикритие като съветник в Комитета за приятелство и културни връзки с чужбина. През 1967 г. е прехвърлен на прикритие в Министерството на външните работи с ранг III-ти секретар, като от юни 1967 г. е на работа в Генералното консулство на НРБ в Истанбул като вицеконсул, отговарящ по културните въпроси. Там на 8 октомври 1970 г. се ражда Иво Христов. Една година по-късно баща му Христо Христов прави стремителна кариера – става секретар с II-ри ранг, а няколко месеца по-късно вече е секретар с I-ви ранг. В резидентурата на РУМНО в Истанбул Христо Христов се подвизава с псевдоним „Бояджиев“.', 'Една година е и партиен секретар на първичната партийна организация там. Семейството му остава в Истанбул до 1972 г., когато през май Христов получава разпореждане да се върне в България. Човекът очевидно ще расте в двете кариери – тази на дипломат (прикритието) и втората, по-важната – на комунистически военен разузнавач. И наистина, в периода 1 септември 1973 - 24 юни 1974 г. Христо Петков Христов е изпратен на 10-месечно обучение във Военно-дипломатическата академия на ГРУ на Съветската армия в Москва! Три години по-късно, през 1977 г., Хр. Христов отново пристига във Военно-дипломатическата академия на ГРУ на Съветската армия. Този път на специален курс за ръководни кадри! През 1978 г. вече е с ранг „съветник“ в МВнР. През декември 1984 г. Христо Петков Христов е изпратен в Посолството на НРБ в Брюксел като съветник по политическите въпроси.', 'Това е прикритието му. А по-важната му дейност е на резидент на РУМНО в Брюксел! Вече е полковник и в Разузнавателния пункт (РП) на РУМНО в Брюксел се подвизава с псевдоним „Дилянов“. Работи здраво срещу НАТО и ЕИО в полза на общата антинатовска и антимариканска политика на ГРУ и РУМНО. Вербува и ръководи агентура, провежда разузнавателни и активни мероприятия срещу НАТО. Мандатът му като резидент на комунистическото военно разузнаване продължава четири години – до август 1988 г . Уволнен е и зачислен в запаса със Заповед Р-03/21.03.1991 г.', '""Днес неговият наследник Иво Христов е острието на атаката на Румен Радев „Решетников"", категоричен е Антон Тодоров.', 'Група изгубени в джунглата пернишки туристи бяха открити по псуващи на майка папагали!']",
4,https://pik.bg/това-ли-е-мата-хари-която-подпали-българия-с-компроматите-от-спалнята-на-борисов-снимки-news980238.html,"Това ли е Мата Хари, която подпали България с компроматите от спалнята на Борисов (СНИМКИ)","['Христина Бобокова ли е Мата Хари, за която премиерът Бойко Борисов проговори преди време, а днес дава подробности в интервю за Франкфуртер Алгемайне Цайтунг?\xa0Чиста случайност или съвпадение е, че жената на Пламен Бобоков се покри за дълго след разкритията му от светския живот, а преди това и около разпространението на\xa0манипулираните записи и нагласените снимки?\xa0', 'Милионершата, която е съпругата на близкия до Румен Радев русенски милионер Бобоков, а и доста близка на другия клиент на прокуратурата и заподозрян като основен спонсор на метежите - Васил Божков, взриви обществото покрай разкритията за въпросната Мата Хари.', 'Припомняме, че от думите на премиера стана ясно, че снимките са направени в негово отсъствие и от човек, който е можел да влиза в личното му пространство без никакъв проблем, което пък\xa0няма как да се случи без съдействието на подчинената на Румен Радев служба НСО. Малко след излизането на манипулациите се появиха основателни слухове, че зад камерата с телефона стои една определена жена.', 'Заподозряната като шпионката на Божков ""прекрасна госпожа"" дълго време се е облагодетелствала от познанството и бизнес отношенията между съпруга си Пламен Бобоков и беглеца в Дубай. Така например, Христина Бобокова е присъствала на гуляя с най-скъпата яхта в света - ""Малтийски сокол"".\xa0През лятото в серия от публикации ПИК разкри, че седмицата в Средиземно море е струвала на олигарха, който от Дубай зове за преврат срещу Борисов, 1 милион лева.\xa0', 'Заподозряната, че е ""сготвила"" премиера милионерша е ползвала услугите и на частния самолет на Васил Божков. Това се случва в\xa0края на януари. След като хазартният бос получава информация, че ще бъде арестуван и ще му бъдат повдигнати обвинения за милиони левове укрити данъци от Националната лотария, частният му Bombardier Global 500 го отвежда в Дубай.', 'На връщане към София, машината трябвало да качи на борда си Динева, която живее с Божков на семейни начала и приятелката й Христина Бобокова. Последвал шопинг из бутиците на ""Диор и ""Шанел"" на прословутата улица\xa0""Монтенаполеоне"" в Милано.\xa0', 'Допреди да изпадне в нелегалност, жената на близкия до Румен Радев бизнесмен\xa0Пламен Бобоков, за когото в началото на юли Прокуратурата разкри чат-кореспонденция му с Prezident - Rumen Radev и благодарностите му към държавния глава за ""огромната подкрепа"", се изживяваше като арт примадона, изкуствовед и куратор, и харчеше като фурия за изкуство.', 'Милиони левове са потънали в повечето\xa0големи галерии по света - ""Tate Modern"" в Лондон, ""White Cube Galler"", на които Бобокова е била сред най-редовните и заможни клиентки. Участвала е и в търгове за картини на най-известните съвременни художници, а според слуховете мащабната, все още непоказвана пред широката публика колекция на Бобокова, възлиза на милиони левове.', 'Глупавата маймуна слязла от клона, изправила се, тръгнала, взела в ръце пръчка, разровила земята, посяла семена, прибрала реколтата… После създала рало, плуг, трактор… И сега работи, за да изкара пари и да си купи банани… Умната маймуна не мръднала от клона и си яде банани без зор…']",
5,https://pik.bg/тома-биков-за-пик-флиртът-на-десните-с-манолова-и-слави-е-подготовка-за-коалиция-с-бсп-и-д-news980215.html,"Тома Биков за ПИК: Флиртът на десните с Манолова и Слави е подготовка за коалиция с БСП и ДПС. Ще се сгромолясат заедно с Радев. Той няма да е президент, Борисов може да управлява 4-ти път","['През седмицата председателят на ДСБ Атанас Атанасов обяви, че коалицията Демократична България, в която участва партията му, в следващия парламент ще се коалира с формациите на Слави Трифонов и Мая Манолова.', 'Няколко дни по-късно самата Манолова също заяви желание да се коалира с Атанасов на принципа „няма ляво, няма дясно”. Трифонов все още не е обявил какви са коалиционните му планове, но е въпрос на време също да обяви готовност да взаимодейства с двете коалиции.', 'Едва ли някой може да каже с точност каква ще бъде конфигурацията в следващия парламент, но отсега се очертава ясно неговата ляво-либерална линия.', 'Изявата на Атанас Атанасов е съществена от идеологическа гледна точка, защото това беше официално признание, че ДСБ вече не е дясна формация. Обясненията, че компромисът с Манолова, която на последните местни избори беше кандидат за кмет на София подкрепена от БСП, ще бъде направен единствено, за да може ГЕРБ да бъдат унищожени като политическа сила, само потвърждават горната теза.', 'ДСБ не е дясна формация от няколко години. На последните европейски и местни избори партията се яви в коалиция с ляволибералната Да, България и крайно лявото Зелено движение.', 'От друга страна евродепутатът Радан Кънев, който членува в групата на ЕНП, играе ролята на перманентна опозиция на европейската десница. От тази позиция той съучаства заедно с евродепутата от БСП Елена Йончева за изработването на антибългарската резолюция приета от социалистите, либералите, зелените и комунистите в Европейския парламент. Затова взаимодействието на Демократична България с кандидата за кмет на БСП Мая Манолова е съвсем логично. Впрочем то вече се случи веднъж на местните избори, когато на втори тур Манолова получи подкрепата на голяма част от бившите десни.', 'Идеологическата постановка „няма ляво, няма дясно” е инструмент за преминаването на бившата десница в ляво-либералното пространство и ако ръководството на ДСБ е честно към своите избиратели, трябва да ги предупреди, че се готви да влезе в коалиция с БСП.', 'Без да знаем каква ще бъде конфигурацията в следващия парламент, можем отсега да кажем, че според всички социологически проучвания Демократична България, партията на Слави Трифонов и формацията на Мая Манолова няма да имат 121 депутати, колкото са необходими, за да бъде съставено правителство. Затова флиртът с Манолова е подготовка най-вече за избирателите на ДСБ, да бъдат въвлечени в коалиция с БСП. За голяма част от тези избиратели коалицията със социалистите ще бъде дълбоко травматична, защото те изразяват не просто десен светоглед, но и са антикомунисти. Затова като е казал А, Атанасов трябва да каже и Б, а именно, че се готви да управлява с БСП. Без БСП трите извънпарламентарни формации не могат нито да съставят парламентарно мнозинство, нито да излъчат правителство.', 'Разбира се, формите за взаимодействие с БСП могат да бъдат най-различни. Най-честният към избирателите вариант би бил коалиционно правителство, но вероятно такова няма да се случи, защото Трифонов, Манолова, Иванов и Атанасов няма да имат смелост да обявят на избирателите си директно, че влизат в коалиция с БСП.', 'Затова ще се търси вариант за излъчване на „експертно” или „програмно” правителство, за което никой от тях няма да носи политическа отговорност. Почти сигурен съм, че тази конфигурация неофициално ще получи кредит на доверие и от ДПС, които отдавна призовават за създаване на непартийно правителство. До момента ДПС са успявали да стигнат до такъв резултат при управленията на Любен Беров и Пламен Орешарски. Подобно на тези две правителства и проектираната от малките либерални формации непартийна конструкция ще бъде крайно нестабилна, защото ще предизвиква постоянно напрежение най-вече в партиите, които го подкрепят.', 'Мълчанието на Слави Трифонов по отношение на коалиционните въпроси е тактически ход, който има за цел да му предостави повече възможности след изборите. Хората на Трифонов вече обявиха, че няма да се коалират с ГЕРБ, БСП и ДПС, но след изборите вероятно ще обяснят, че не се коалират с БСП, а само се ползват с подкрепата на социалистите.', 'Компромисът, който ще трябва да направи БСП от своя страна е да не излъчи своя лидер Корнелия Нинова за министър-председател. Социалистите ще получат своята квота в управлението на страната, но Нинова ще трябва да действа индиректно през неполитически лица, което ще създаде определено напрежение при социалистите. Мнозина от техните ключови фигури в момента се виждат като министри или зам.-министри, но ще трябва да се откажат от тези свои амбиции в името на съюза с извънпарламентарните ляво-либерални формации.', 'Създаването на нов Отечествен фронт срещу ГЕРБ изобщо не е нереалистична идея, като към нея със сигурност ще се присъедини и президентът Радев. През последните месеци, той успя да взаимодейства с формациите на Манолова, Трифонов, Иванов и Атанасов.', 'Изначално обединяването срещу общия враг е много по-лесно от самото управление. Затова и тези, които днес проектират бъдещия Отечествен фронт, който трябва да унищожи ГЕРБ, не си дават сметка, че провалът им ще бъде толкова бърз, че най-вероятно ще приключи със загуба на президентските избори от страна на Румен Радев, разпад на мнозинството и предсрочни парламентарни избори.', 'Основната причина да твърдя това се корени в невъзможността на формациите, които ще съставляват новия Отечествен фронт да стигнат до общи позиции по основни въпроси на управлението. Със сигурност първото нещо, което ще направи едно „експертно” или „програмно” правителство е да изпусне контрола върху контрабандата, а оттам и приходите в бюджета, които са основната гаранция за омекотяването на ударите от икономическата криза предизвикана от коронавируса. Вторият препъни камък за евентуално „няма ляво, няма дясно” управление ще бъде провеждането на конституционни промени в частта за съдебната власт, които са приоритетни за Демократична България.', 'Твърдата позиция на БСП срещу промените в конституцията ще взриви или цялата коалиция, или ако се приемат такива ще взриви самата социалистическа партия, която така или иначе генерира непрестанно напрежение между различните лобита в нея. Третото предизвикателство ще бъде сривът на рейтинга на Демократична България, формациятта на Манолова и партията на Трифонов, които в качеството си на управляващи ще трябва да отговарят непрестанно на въпроса предизборен трик ли е била позицията им, че няма да се коалират с БСП.', 'Доколко този сценарий ще се случи ще решат избирателите на предстоящите редовни парламентарни избори. По всичко личи, че следващото управление ще бъде съставено трудно и ще функционира още по-трдно. Причината за това е изострянето на конфронтацията между политическите сили през последните месеци и опитът на президента Радев да предизвика политическа криза в период на здравни и икономически изпитания.', 'Политическата криза, за която мечтае Радев вероятно ще се случи независимо от това кой ще спечели изборите. Сметките, които си правят извънпарламентарните партии и БСП обаче са изначално криви, защото те очакват политическата криза да се реши с парламентарните избори, а изборите ще бъдат нейното начало. Затова големият залог няма да бъдат парламентарните, а президентските избори.', 'От тази гледна точка само след година и половина може да сме в една неочаквана днес политическа ситуация, в която Борисов ще бъде премиер за четвърти път, а Радев няма да е президент. Това е толкова неочаквана ситуация, колкото ситуацията, в която създадената от Иван Костов ДСБ се оказва ляволиберална партия и работи за следизборна коалиция с БСП.', 'Пияница се събужда сутринта на една пейка в Морската градина във Варна и гледа младо момче до него. Взира се в него и след малко го пита:  - Откъде те познавам, момче?  - Тате, хайде да си ходим вече, че мама сигурно е побесняла и с точилката в ръка!']",
